scale,lag,MI_bits,MI_corrected,NMI,autocorrelation,bias_correction,n_samples
10000,1,0.34296402,0.33927430,0.08408141,-0.04547825,0.00368973,199998
10000,2,0.01186434,0.00737028,0.00182656,-0.01713133,0.00449406,199997
10000,3,0.00714066,0.00250230,0.00062014,-0.00505477,0.00463836,199996
10000,4,0.00717587,0.00252667,0.00062618,-0.00315926,0.00464920,199995
10000,5,0.00761580,0.00298461,0.00073967,-0.00279154,0.00463119,199994
10000,6,0.00677663,0.00211295,0.00052365,0.00107843,0.00466367,199993
10000,7,0.00704113,0.00237743,0.00058919,0.00086950,0.00466370,199992
10000,8,0.00704065,0.00238414,0.00059086,-0.00277364,0.00465651,199991
10000,9,0.00763918,0.00304757,0.00075527,0.00370214,0.00459161,199990
10000,10,0.00718822,0.00254609,0.00063099,0.00267175,0.00464213,199989
10000,11,0.00715161,0.00252028,0.00062459,0.00309974,0.00463133,199988
10000,12,0.00737062,0.00265992,0.00065920,0.00410753,0.00471071,199987
10000,13,0.00695107,0.00225477,0.00055879,0.00252695,0.00469630,199986
10000,14,0.00703467,0.00239967,0.00059470,0.00125577,0.00463501,199985
10000,15,0.00710656,0.00241742,0.00059910,0.00843291,0.00468913,199984
10000,16,0.00675515,0.00203714,0.00050486,0.00329866,0.00471801,199983
10000,17,0.00718808,0.00250972,0.00062198,0.00370136,0.00467836,199982
10000,18,0.00765994,0.00302845,0.00075053,0.00256148,0.00463149,199981
10000,19,0.00646604,0.00182010,0.00045107,0.00456650,0.00464594,199980
10000,20,0.00750178,0.00281614,0.00069792,0.00618523,0.00468564,199979
10000,21,0.00736255,0.00273460,0.00067771,0.00475753,0.00462795,199978
10000,22,0.00713750,0.00235802,0.00058438,0.00820654,0.00477948,199977
10000,23,0.00705776,0.00239369,0.00059322,0.00606871,0.00466407,199976
10000,24,0.00690376,0.00224327,0.00055594,0.00471790,0.00466049,199975
10000,25,0.00722026,0.00247679,0.00061382,0.00261158,0.00474348,199974
10000,26,0.00729738,0.00260078,0.00064454,0.00714826,0.00469661,199973
10000,27,0.00678309,0.00204317,0.00050635,0.01020476,0.00473992,199972
10000,28,0.00745503,0.00275837,0.00068360,0.00792087,0.00469665,199971
10000,29,0.00765213,0.00301317,0.00074675,0.01051164,0.00463896,199970
10000,30,0.00707486,0.00236734,0.00058669,0.00460746,0.00470752,199969
10000,31,0.00724697,0.00258271,0.00064007,0.00557741,0.00466426,199968
10000,32,0.00747817,0.00284996,0.00070630,0.01060952,0.00462821,199967
10000,33,0.00677371,0.00214548,0.00053171,0.00272775,0.00462823,199966
10000,34,0.00726789,0.00261077,0.00064702,0.00517262,0.00465711,199965
10000,35,0.00702715,0.00236279,0.00058556,0.00753817,0.00466435,199964
10000,36,0.00742805,0.00278172,0.00068939,0.00488963,0.00464634,199963
10000,37,0.00726143,0.00260425,0.00064540,0.00338235,0.00465718,199962
10000,38,0.00704039,0.00245172,0.00060760,0.00254660,0.00458867,199961
10000,39,0.00756336,0.00288809,0.00071575,0.00656873,0.00467527,199960
10000,40,0.00715906,0.00247295,0.00061286,0.00818015,0.00468611,199959
10000,41,0.00714074,0.00242213,0.00060027,0.00697942,0.00471860,199958
10000,42,0.00732859,0.00259914,0.00064414,0.00799927,0.00472945,199957
10000,43,0.00740835,0.00280514,0.00069519,0.00670703,0.00460321,199956
10000,44,0.00744667,0.00267749,0.00066356,0.00540945,0.00476918,199955
10000,45,0.00709441,0.00246230,0.00061022,0.00556010,0.00463212,199954
10000,46,0.00749296,0.00280670,0.00069558,0.00928651,0.00468625,199953
10000,47,0.00733664,0.00265397,0.00065773,0.00907175,0.00468267,199952
10000,48,0.00756032,0.00286681,0.00071047,0.00659823,0.00469352,199951
10000,49,0.00704881,0.00239856,0.00059443,0.00736550,0.00465025,199950
10000,50,0.00714027,0.00247557,0.00061351,0.00545917,0.00466470,199949
10000,51,0.00697167,0.00228169,0.00056547,0.00678785,0.00468998,199948
10000,52,0.00728057,0.00259417,0.00064291,0.00599424,0.00468639,199947
10000,53,0.00706084,0.00235639,0.00058398,0.00478902,0.00470446,199946
10000,54,0.00758829,0.00290185,0.00071916,0.00982595,0.00468644,199945
10000,55,0.00707130,0.00238483,0.00059103,0.00717561,0.00468646,199944
10000,56,0.00723698,0.00252163,0.00062493,0.00678828,0.00471535,199943
10000,57,0.00711412,0.00248894,0.00061683,0.00877762,0.00462518,199942
10000,58,0.00695754,0.00229987,0.00056997,0.00687370,0.00465767,199941
10000,59,0.00736588,0.00267932,0.00066401,0.00759858,0.00468656,199940
10000,60,0.00737216,0.00276134,0.00068434,0.00699318,0.00461082,199939
10000,61,0.00725889,0.00263723,0.00065358,0.00403413,0.00462166,199938
10000,62,0.00727466,0.00255195,0.00063244,0.00806545,0.00472271,199937
10000,63,0.00661474,0.00196778,0.00048767,0.00162007,0.00464697,199936
10000,64,0.00737698,0.00269391,0.00066762,0.00653090,0.00468307,199935
10000,65,0.00669599,0.00204537,0.00050690,0.00510745,0.00465062,199934
10000,66,0.00709950,0.00243803,0.00060421,0.00670519,0.00466147,199933
10000,67,0.00753676,0.00293661,0.00072777,0.00559654,0.00460015,199932
10000,68,0.00733288,0.00265333,0.00065757,0.00554353,0.00467955,199931
10000,69,0.00714248,0.00242321,0.00060054,0.00649773,0.00471926,199930
10000,70,0.00736875,0.00265667,0.00065840,0.00611612,0.00471207,199929
10000,71,0.00716704,0.00259205,0.00064238,0.00517355,0.00457499,199928
10000,72,0.00712192,0.00244588,0.00060616,0.00393149,0.00467604,199927
10000,73,0.00740987,0.00271577,0.00067304,0.00749269,0.00469410,199926
10000,74,0.00723583,0.00257418,0.00063795,0.00626801,0.00466165,199925
10000,75,0.00709069,0.00241098,0.00059751,0.00695055,0.00467972,199924
10000,76,0.00742258,0.00278614,0.00069048,0.00853522,0.00463644,199923
10000,77,0.00739625,0.00268401,0.00066517,0.00987031,0.00471224,199922
10000,78,0.00684215,0.00211907,0.00052516,0.00262463,0.00472309,199921
10000,79,0.00738065,0.00268280,0.00066487,0.00650473,0.00469785,199920
10000,80,0.00689187,0.00222286,0.00055089,0.00434670,0.00466901,199919
10000,81,0.00653164,0.00186261,0.00046160,0.00387971,0.00466903,199918
10000,82,0.00735531,0.00258522,0.00064069,0.00968737,0.00477009,199917
10000,83,0.00738522,0.00265119,0.00065704,0.00793273,0.00473403,199916
10000,84,0.00754199,0.00289093,0.00071645,0.00872590,0.00465106,199915
10000,85,0.00715425,0.00249956,0.00061946,0.00680819,0.00465469,199914
10000,86,0.00698293,0.00227409,0.00056358,0.00920343,0.00470884,199913
10000,87,0.00728819,0.00260097,0.00064459,0.01032257,0.00468721,199912
10000,88,0.00752312,0.00282145,0.00069923,0.01165347,0.00470167,199911
10000,89,0.00703969,0.00237408,0.00058836,0.00713343,0.00466561,199910
10000,90,0.00724407,0.00256039,0.00063453,0.01152102,0.00468368,199909
10000,91,0.00733071,0.00271557,0.00067299,0.00548803,0.00461514,199908
10000,92,0.00718879,0.00257002,0.00063692,0.00331965,0.00461877,199907
10000,93,0.00717016,0.00238537,0.00059116,0.00972704,0.00478478,199906
10000,94,0.00709566,0.00249128,0.00061741,0.00893320,0.00460438,199905
10000,95,0.00733355,0.00258120,0.00063969,0.00808857,0.00475235,199904
10000,96,0.00767903,0.00304212,0.00075392,0.00800103,0.00463691,199903
10000,97,0.00744917,0.00274007,0.00067906,0.01228505,0.00470910,199902
10000,98,0.00701081,0.00233777,0.00057936,0.00754416,0.00467304,199901
10000,99,0.00729130,0.00255329,0.00063277,0.00864688,0.00473802,199900
10000,100,0.00760481,0.00286316,0.00070957,0.00837714,0.00474165,199899
100000,1,0.34175532,0.33802952,0.08339277,-0.04727551,0.00372580,199998
100000,2,0.01190064,0.00737051,0.00181832,-0.01991260,0.00453013,199997
100000,3,0.00716338,0.00245289,0.00060513,-0.00825222,0.00471049,199996
100000,4,0.00716829,0.00247220,0.00060990,-0.00553801,0.00469609,199995
100000,5,0.00774952,0.00307865,0.00075951,-0.00538008,0.00467087,199994
100000,6,0.00694039,0.00224426,0.00055366,-0.00231089,0.00469614,199993
100000,7,0.00708355,0.00237657,0.00058631,-0.00237211,0.00470698,199992
100000,8,0.00718671,0.00249053,0.00061442,-0.00571382,0.00469618,199991
100000,9,0.00764871,0.00298497,0.00073640,0.00136717,0.00466374,199990
100000,10,0.00726705,0.00255279,0.00062978,0.00041550,0.00471427,199989
100000,11,0.00701256,0.00230549,0.00056877,-0.00019054,0.00470707,199988
100000,12,0.00738715,0.00263677,0.00065050,0.00030421,0.00475038,199987
100000,13,0.00703919,0.00229239,0.00056554,-0.00014423,0.00474680,199986
100000,14,0.00706822,0.00237189,0.00058515,-0.00198339,0.00469632,199985
100000,15,0.00722216,0.00246089,0.00060711,0.00616984,0.00476127,199984
100000,16,0.00683494,0.00205561,0.00050712,0.00041078,0.00477933,199983
100000,17,0.00729552,0.00257387,0.00063498,0.00087198,0.00472164,199982
100000,18,0.00769126,0.00300566,0.00074150,-0.00045547,0.00468560,199981
100000,19,0.00668042,0.00200202,0.00049390,0.00085466,0.00467841,199980
100000,20,0.00755149,0.00280813,0.00069277,0.00303436,0.00474336,199979
100000,21,0.00741000,0.00272794,0.00067299,0.00207674,0.00468206,199978
100000,22,0.00723024,0.00242190,0.00059749,0.00478958,0.00480833,199977
