scale,lambda,n_windows,mean_count,var_count,var_over_mean,chi2_statistic,chi2_pvalue
10000,1.00000000,195744,1.02173247,0.73812505,0.72242497,8983.55842905,0.00000000
10000,2.00000000,97872,2.04346493,1.36003249,0.66555216,6526.77333995,0.00000000
10000,5.00000000,39148,5.10858792,3.14573906,0.61577467,3470.76901502,0.00000000
100000,1.00000000,196955,1.01545531,0.73422332,0.72304839,8876.43424208,0.00000000
100000,2.00000000,98477,2.03091077,1.35012143,0.66478619,6528.50031436,0.00000000
100000,5.00000000,39391,5.07727654,3.10575437,0.61169691,3530.92623010,0.00000000
1000000,1.00000000,199168,1.00416734,0.73626557,0.73321004,8132.93059631,0.00000000
1000000,2.00000000,99584,2.00833467,1.34594997,0.67018211,6253.29068612,0.00000000
1000000,5.00000000,39833,5.02081189,3.11896535,0.62120737,3324.60042036,0.00000000
10000000,1.00000000,199919,1.00040016,0.74617204,0.74587357,7256.45936286,0.00000000
10000000,2.00000000,99959,2.00080033,1.39239024,0.69591664,5172.38164127,0.00000000
10000000,5.00000000,39983,5.00200085,3.18735062,0.63721513,3011.77574719,0.00000000
100000000,1.00000000,199926,1.00036514,0.76863926,0.76835871,5945.29996116,0.00000000
100000000,2.00000000,99963,2.00073027,1.44798522,0.72372835,4190.59162481,0.00000000
100000000,5.00000000,39985,5.00180068,3.39647044,0.67904954,2272.81673751,0.00000000
